Equipment Name	Firepower	Torpedo	Anti-Air	Damage	Coefficient	Ammo Type	Damage to L	Damage to M	Damage to H
Quadruple 330mm (Mle 1931) (Tier 1)	5	0	0	49	1.00	Normal	0.7	1	0.9
Quadruple 330mm (Mle 1931) (Tier 2)	12	0	0	69	1.00	Normal	0.7	1	0.9
Quadruple 330mm (Mle 1931) (Tier 3)	25	0	0	102	1.00	AP	0.45	1.3	1.1
Quadruple 356mm (14"/50 Mark B Prototype) (Tier 0)	25	0	0	116	1.05	HE	1.4	1.1	0.9
Quadruple 356mm (BL 14" Mk VII) (Tier 1)	12	0	0	70	1.00	Normal	0.7	1	0.9
Quadruple 356mm (BL 14" Mk VII) (Tier 2)	25	0	0	99	1.00	HE	1.4	1.1	0.9
Quadruple 356mm (BL 14" Mk VII) (Tier 3)	45	0	0	108	1.00	HE	1.4	1.1	0.9
Quadruple 380mm (Mle 1935) (Tier 1)	12	0	0	76	1.00	Normal	0.7	1	0.9
Quadruple 380mm (Mle 1935) (Tier 2)	25	0	0	110	1.00	HE	1.4	1.1	0.9
Quadruple 380mm (Mle 1935) (Tier 3)	45	0	0	120	1.00	HE	1.4	1.1	0.9
Triple 283mm (SK C/34) (Tier 1)	5	0	0	46	1.05	Normal	0.7	1	0.9
Triple 283mm (SK C/34) (Tier 2)	12	0	0	64	1.05	Normal	0.7	1	0.9
Triple 283mm (SK C/34) (Tier 3)	25	0	0	88	1.05	Normal	0.7	1	0.9
Triple 305mm (Pattern 1907) (Tier 3)	12	0	0	92	1.25	HE	1.4	1.1	0.9
Triple 305mm (SK C/39 Prototype) (Tier 0)	45	0	0	105	1.00	HE	1.4	1.1	0.9
Triple 320mm (Model 1934) (Tier 0)	12	0	0	80	1.05	AP	0.45	1.3	1.1
Triple 356mm (14"/50 Mk 11) (Tier 1)	0	0	0	56	1.05	Normal	0.7	1	0.9
Triple 356mm (14"/50 Mk 11) (Tier 2)	5	0	0	61	1.05	HE	1.4	1.1	0.9
Triple 356mm (14"/50 Mk 11) (Tier 3)	12	0	0	84	1.05	HE	1.4	1.1	0.9
Triple 381mm (BL 15" Mk III Prototype) (Tier 0)	45	0	0	142	1.05	HE	1.4	1.1	0.9
Triple 381mm (Model 1934) (Tier 1)	12	0	0	90	1.00	Normal	0.7	1	0.9
Triple 381mm (Model 1934) (Tier 2)	25	0	0	135	1.00	AP	0.45	1.3	1.1
Triple 381mm (Model 1934) (Tier 3)	45	0	0	148	1.00	AP*	0.4	1.35	1.15
Triple 406mm (16"/45 Mk 6) (Tier 1)	5	0	0	74	1.05	Normal	0.7	1	0.9
Triple 406mm (16"/45 Mk 6) (Tier 2)	12	0	0	108	1.05	HE	1.4	1.1	0.9
Triple 406mm (16"/45 Mk 6) (Tier 3)	25	0	0	156	1.05	HE	1.4	1.1	0.9
Triple 406mm (16"/50 Mark D Mod 0 Prototype) (Tier 0)	45	0	0	154	1.05	APMKD	0.45	1.3	1.15
Triple 406mm (16"/50 Mk 2) (Tier 0)	25	0	0	156	1.05	Normal	0.7	1	0.9
Triple 406mm (BL 16" Mk I) (Tier 0)	45	0	0	167	1.05	HE	1.4	1.1	0.9
Triple 406mm (BL 16" Mk I) (Tier 1)	12	0	0	96	1.05	Normal	0.7	1	0.9
Triple 406mm (BL 16" Mk I) (Tier 2)	25	0	0	141	1.05	Normal	0.7	1	0.9
Triple 406mm (BL 16" Mk I) (Tier 3)	45	0	0	154	1.05	Normal	0.7	1	0.9
Triple 406mm (MK-1) (Tier 1)	12	0	0	101	1.00	HE	1.4	1.1	0.9
Triple 406mm (MK-1) (Tier 2)	25	0	0	149	1.00	Normal	0.7	1	0.9
Triple 406mm (Mle 1938 Prototype) (Tier 0)	45	0	0	150	1.10	AP^	0.4	1.4	1.2
Triple 410mm (10th Year Type Prototype) (Tier 0)	45	0	0	154	1.05	AP	0.45	1.3	1.1
Twin 305mm (41st Year Type) (Tier 0)	12	0	0	74	1.10	Normal	0.7	1	0.9
Twin 356mm (41st Year Type) (Tier 1)	0	0	0	56	1.10	Normal	0.7	1	0.9
Twin 356mm (41st Year Type) (Tier 2)	5	0	0	62	1.10	HE	1.4	1.1	0.9
Twin 356mm (41st Year Type) (Tier 3)	12	0	0	88	1.10	HE	1.4	1.1	0.9
Twin 356mm (41st Year Type) Kai (Tier 0)	12	0	0	88	1.10	HE	1.4	1.1	0.9
Twin 356mm (BL 14" Mk VII) (Tier 0)	25	0	0	116	1.15	HE	1.4	1.1	0.9
Twin 380mm (SK C/34) (Tier 1)	12	0	0	86	1.10	Normal	0.7	1	0.9
Twin 380mm (SK C/34) (Tier 2)	25	0	0	122	1.10	AP	0.45	1.3	1.1
Twin 380mm (SK C/34) (Tier 3)	45	0	0	132	1.10	AP	0.45	1.3	1.1
Twin 381mm (BL 15" Mk I) (Tier 1)	5	0	0	64	1.10	Normal	0.7	1	0.9
Twin 381mm (BL 15" Mk I) (Tier 2)	12	0	0	90	1.10	AP	0.45	1.3	1.1
Twin 381mm (BL 15" Mk I) (Tier 3)	25	0	0	128	1.10	AP	0.45	1.3	1.1
Twin 381mm (BL 15" Mk II) (Tier 0)	45	0	0	133	1.10	HE	1.4	1.1	0.9
Twin 406mm (16"/45 Mk 1) (Tier 0)	12	0	0	106	1.10	AP	0.45	1.3	1.1
Twin 406mm (16"/45 Mk 5) (Tier 1)	5	0	0	72	1.10	Normal	0.7	1	0.9
Twin 406mm (16"/45 Mk 5) (Tier 2)	12	0	0	106	1.10	AP	0.45	1.3	1.1
Twin 406mm (16"/45 Mk 5) (Tier 3)	25	0	0	154	1.10	AP	0.45	1.3	1.1
Twin 406mm (16"/45 Mk 8) (Tier 0)	25	0	0	154	1.10	AP	0.45	1.3	1.1
Twin 406mm (SK C/34 Prototype) (Tier 0)	45	0	0	154	1.10	HE	1.4	1.1	0.9
Twin 410mm (3rd Year Type) (Tier 1)	5	0	0	72	1.10	Normal	0.7	1	0.9
Twin 410mm (3rd Year Type) (Tier 2)	12	0	0	106	1.10	HE	1.4	1.1	0.9
Twin 410mm (3rd Year Type) (Tier 3)	25	0	0	154	1.10	HE	1.4	1.1	0.9
Twin 410mm (3rd Year Type) Kai (Tier 0)	25	0	0	156	1.10	HE	1.4	1.1	0.9
Twin 410mm (Type 3 Shell) (Tier 0)	25	0	25	22	1.10	Sanshikidan	1.4	1.1	0.9
Twin 457mm (Mark A Prototype) (Tier 0)	65	0	0	207	1.05	AP+	0.55	1.45	1.25
