Equipment Name	Aviation	Bomb One Damage	Bomb One to L	Bomb One to M	Bomb One to H	Bomb Two Damage	Bomb Two to L	Bomb Two to M	Bomb Two to H	Torpedo Damage	Torpedo to L	Torpedo to M	Torpedo to H
Aichi B7A Ryuusei (Tier 3)	45	0	0	0	0	0	0	0	0	307	0.8	1.1	1.3
Arado Ar 195 (Tier 0)	12	0	0	0	0	0	0	0	0	162	0.8	1.1	1.3
Blackburn Firebrand (Tier 0)	45	0	0	0	0	0	0	0	0	340	0.8	1.1	1.3
Blackburn Firecrest (Tier 0)	45	0	0	0	0	0	0	0	0	340	0.8	1.1	1.3
Douglas TBD Devastator (Tier 3)	12	0	0	0	0	0	0	0	0	234	0.8	1.1	1.3
Douglas XTB2D-1 Skypirate (Tier 0)	45	0	0	0	0	0	0	0	0	340	0.8	1.1	1.3
Fairey Albacore (Tier 3)	25	0	0	0	0	0	0	0	0	300	0.8	1.1	1.3
Fairey Barracuda (Tier 3)	45	0	0	0	0	0	0	0	0	340	0.8	1.1	1.3
Fairey Swordfish (Tier 3)	25	0	0	0	0	0	0	0	0	300	0.8	1.1	1.3
Fairey Swordfish (818 Squadron) (Tier 0)	45	0	0	0	0	0	0	0	0	312	0.8	1.1	1.3
Fieseler Fi 167 (Tier 0)	25	0	0	0	0	0	0	0	0	244	0.8	1.1	1.3
Grumman TBF Avenger (Tier 3)	25	0	0	0	0	0	0	0	0	300	0.8	1.1	1.3
Junkers Ju-87 D-4 (Tier 0)	45	0	0	0	0	0	0	0	0	300	0.8	1.1	1.3
Levasseur PL.7 (Tier 0)	12	0	0	0	0	0	0	0	0	156	0.8	1.1	1.3
Nakajima B5N Type 97 (Tier 3)	12	0	0	0	0	0	0	0	0	182	0.8	1.1	1.3
Nakajima B5N2 Type 97 (Tier 0)	12	0	0	0	0	0	0	0	0	182	0.8	1.1	1.3
Nakajima B6N Tenzan (Tier 3)	25	0	0	0	0	0	0	0	0	250	0.8	1.1	1.3
Nakajima B6N2 Tenzan Model 12A (Tier 0)	25	0	0	0	0	0	0	0	0	270	0.8	1.1	1.3
TBM Avenger (VT-18 Squadron) (Tier 0)	45	0	0	0	0	0	0	0	0	398	0.8	1.1	1.3
Douglas TBD Devastator (VT-8) (Tier 0)	45	0	0	0	0	0	0	0	0	349	0.8	1.1	1.3
Grumman TBF Avenger (VT-8) (Tier 0)	45	0	0	0	0	0	0	0	0	404	0.8	1.1	1.3
Westland Wyvern (Tier 0)	65	0	0	0	0	0	0	0	0	401	0.8	1.1	1.3
